video_id,video_url,video_title,channel_name,channel_id,kategori,eslesen_keyword,comment_count,view_count,like_count,published_at
I1yDOz2vOSg,https://www.youtube.com/watch?v=I1yDOz2vOSg,Special Report: Inside Iran - as US says war may be over in two weeks| BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,hormuz,hormuz,1468,566475,2789,2026-03-27T22:44:06Z
9VIJnDXQZiw,https://www.youtube.com/watch?v=9VIJnDXQZiw,President Trump appeals to allies to help defend Strait of Hormuz from Iran’s attacks | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,ilk_saldir,attack,17766,3308895,19052,2026-03-14T22:53:32Z
H2UrO4bRkNU,https://www.youtube.com/watch?v=H2UrO4bRkNU,Iran War -  US officials say thousands of marines and assault ship on way to region | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,ilk_saldir,attack,12671,3333066,23789,2026-03-13T22:35:15Z
V_qVzmk3pLI,https://www.youtube.com/watch?v=V_qVzmk3pLI,Iran launches attack on Israel’s top secret nuclear facility in Negev desert | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,ilk_saldir,missile,8451,1510839,14976,2026-03-21T22:48:31Z
4uelKu08e3s,https://www.youtube.com/watch?v=4uelKu08e3s,Iran's new Supreme Leader Mojtaba Khamenei vows to 'avenge' victims of war | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,sivil_kayip,injured,805,215382,935,2026-03-12T19:58:08Z
00KiQHWSIrE,https://www.youtube.com/watch?v=00KiQHWSIrE,UN Humanitarian Chief warns of 'moment of grave peril' | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,sivil_kayip,civilian,196,16033,219,2026-03-08T13:31:33Z
uCAoipvOUzg,https://www.youtube.com/watch?v=uCAoipvOUzg,Inside the secret hotel escape of Iran’s footballers in Australia | BBC News,BBC News,UC16niRr50-MSBwiO3YDb3RA,sivil_kayip,humanitarian,157,75582,721,2026-03-12T16:01:25Z
4n5visLZSmE,https://www.youtube.com/watch?v=4n5visLZSmE,Senior Iranian official tells CNN: Iran ready for long war,CNN,UCupvZG-5ko_eiXAupbDfxWw,ateskes,diplomacy,21116,5034197,129954,2026-03-09T16:18:35Z
OMLnltuYanM,https://www.youtube.com/watch?v=OMLnltuYanM,The real consequences of Trump’s Iran war flip-flops | Fareed's Take,CNN,UCupvZG-5ko_eiXAupbDfxWw,ateskes,peace,3507,1493242,16550,2026-03-29T17:40:31Z
cszbqHzCUy8,https://www.youtube.com/watch?v=cszbqHzCUy8,Comedians take swings at Trump’s plea for Iran help | Have I Got News For You,CNN,UCupvZG-5ko_eiXAupbDfxWw,ateskes,deal,2248,1445608,23702,2026-03-22T13:40:03Z
PTX5YjJeHII,https://www.youtube.com/watch?v=PTX5YjJeHII,Leaving Dubai after calling it home for 30 years,CNN,UCupvZG-5ko_eiXAupbDfxWw,genel,iran_context,8253,2426434,41221,2026-03-05T20:00:31Z
DGoWtb20woo,https://www.youtube.com/watch?v=DGoWtb20woo,Top Trump intel official Joe Kent resigns over Iran war,CNN,UCupvZG-5ko_eiXAupbDfxWw,genel,iran_context,6123,1363243,18252,2026-03-17T15:25:14Z
K0yxXQFb-hs,https://www.youtube.com/watch?v=K0yxXQFb-hs,Massie calls out Trump administration ahead of War Powers vote,CNN,UCupvZG-5ko_eiXAupbDfxWw,genel,iran_context,6036,1556480,96115,2026-03-04T22:50:59Z
zY5cbG0xDDc,https://www.youtube.com/watch?v=zY5cbG0xDDc,US allies reject Trump's call for help in Strait of Hormuz,CNN,UCupvZG-5ko_eiXAupbDfxWw,hormuz,hormuz,12693,953256,10871,2026-03-16T18:25:00Z
WMZRxqZxhGQ,https://www.youtube.com/watch?v=WMZRxqZxhGQ,Enten: Key allies ‘absolutely despise’ US action in Iran,CNN,UCupvZG-5ko_eiXAupbDfxWw,hormuz,hormuz,9504,1338565,15969,2026-03-17T18:30:49Z
mBseqz0k9zg,https://www.youtube.com/watch?v=mBseqz0k9zg,Trump claims countries will send warships to Strait of Hormuz,CNN,UCupvZG-5ko_eiXAupbDfxWw,hormuz,hormuz,5594,488220,4701,2026-03-15T12:21:44Z
V52iJ-ZDkJY,https://www.youtube.com/watch?v=V52iJ-ZDkJY,US & Israel launch attack on Iran,CNN,UCupvZG-5ko_eiXAupbDfxWw,ilk_saldir,attack,11628,2066835,16047,2026-02-28T11:15:31Z
